,codigo_centro,codigo_titulacion,nombre_titulacion,porcentaje_abandono,numero_abandonos,numero_matriculados,anyo,duracion_carrera
0,1,151,grado en administracion y direccion de empresas,0.374749498997996,187.0,499.0,2021,4.0
1,5,153,grado en biologia,0.0845771144278607,17.0,201.0,2021,4.0
2,18,154,grado en ciencias de la actividad fisica y del deporte,0.08943089430894309,11.0,123.0,2021,4.0
3,20,155,grado en derecho,0.14466546112115733,80.0,553.0,2021,4.0
4,1,156,grado en economia,0.28402366863905326,48.0,169.0,2021,4.0
5,11,157,grado en enfermeria,0.17716535433070865,45.0,254.0,2021,4.0
6,19,158,grado en famarcia,0.0945945945945946,28.0,296.0,2021,4.0
7,16,159,grado en filologia hispanica,0.29457364341085274,38.0,129.0,2021,4.0
8,12,160,grado en filosofia,0.4153846153846154,27.0,65.0,2021,4.0
9,7,161,grado en finanzas y contabilidad,0.5037783375314862,200.0,397.0,2021,5.0
10,6,162,grado en fisica,0.21929824561403508,25.0,114.0,2021,4.0
11,11,163,grado en fisioterapia,0.2,24.0,120.0,2021,4.0
12,4,164,grado en geografia y gestion del territorio,0.4318181818181818,19.0,44.0,2021,4.0
13,4,166,grado en historia,0.2222222222222222,40.0,180.0,2021,4.0
14,4,167,grado en historia del arte,0.36470588235294116,62.0,170.0,2021,4.0
15,17,171,grado en matematicas,0.13013698630136986,19.0,146.0,2021,4.0
16,14,172,grado en medicina,0.0660377358490566,21.0,318.0,2021,4.0
17,10,173,grado en odontologia,0.1935483870967742,18.0,93.0,2021,4.0
18,18,174,grado en pedagogia,0.07894736842105263,12.0,152.0,2021,4.0
19,11,175,grado en podologia,0.32857142857142857,23.0,70.0,2021,6.0
20,13,176,grado en psicologia,0.14232209737827714,38.0,267.0,2021,5.0
21,22,177,grado en quimica,0.1917808219178082,28.0,146.0,2021,4.0
22,8,178,grado en relaciones laborales y recursos humanos,0.20361990950226244,45.0,221.0,2021,4.0
23,7,179,grado en turismo,0.3020833333333333,87.0,288.0,2021,4.0
24,1,180,grado en marketing e investigacion de mercados,0.2846715328467153,39.0,137.0,2021,4.0
25,16,181,grado en estudios arabes e islamicos,0.3333333333333333,6.0,18.0,2021,4.0
26,16,182,grado en estudios franceses,0.3108108108108108,23.0,74.0,2021,4.0
27,16,183,grado en estudios ingleses,0.2602739726027397,38.0,146.0,2021,4.0
28,16,184,grado en filologia clasica,0.55,22.0,40.0,2021,4.0
29,16,185,grado en lengua y literatura alemanas,0.32432432432432434,12.0,37.0,2021,4.0
30,1,186,doble grado en administracion y direccion de empresas y en derecho,0.225,27.0,120.0,2021,4.0
31,20,186,doble grado en administracion y direccion de empresas y en derecho,0.225,27.0,120.0,2021,4.0
32,20,187,doble grado en derecho y gestion y administracion publica,0.2033898305084746,12.0,59.0,2021,4.0
33,4,188,grado en antropologia social y cultural,0.4107142857142857,23.0,56.0,2021,5.0
34,21,190,grado en bellas artes,0.15254237288135594,27.0,177.0,2021,5.0
35,2,192,grado en comunicacion audiovisual,0.0783132530120482,13.0,166.0,2021,5.0
36,21,193,grado en conservacion y restauracion de bienes culturales,0.19047619047619047,12.0,63.0,2021,5.0
37,18,194,grado en educacion infantil,0.04918032786885246,9.0,183.0,2021,5.0
38,18,195,grado en educacion primaria,0.10687022900763359,56.0,524.0,2021,4.0
39,17,196,grado en estadistica,0.061224489795918366,3.0,49.0,2021,4.0
40,45,197,grado en ingenieria aeroespacial,0.1015625,13.0,128.0,2021,4.0
41,9,198,grado en ingenieria agricola,0.37037037037037035,70.0,189.0,2021,4.0
42,45,199,grado en ingenieria de las tecnologias de telecomunicacion,0.3359375,43.0,128.0,2021,4.0
43,23,200,grado en ingenieria electrica,0.5694444444444444,41.0,72.0,2021,4.0
44,23,201,grado en ingenieria electronica industrial,0.43103448275862066,50.0,116.0,2021,4.0
45,23,202,grado en ingenieria en diseño industrial y desarrollo del producto,0.2066115702479339,25.0,121.0,2021,4.0
46,45,203,grado en ingenieria de tecnologias industriales,0.14885496183206107,39.0,262.0,2021,4.0
47,3,204,grado en ingenieria informatica-ingenieria de computadores,0.5689655172413793,66.0,116.0,2021,4.0
48,3,205,grado en ingenieria informatica-ingenieria del software,0.20168067226890757,48.0,238.0,2021,4.0
49,3,206,grado en ingenieria informatica-tecnologias informaticas,0.3660130718954248,56.0,153.0,2021,4.0
50,23,207,grado en ingenieria mecanica,0.319672131147541,39.0,122.0,2021,4.0
51,45,208,grado en ingenieria quimica,0.3559322033898305,21.0,59.0,2021,4.0
52,23,209,grado en ingenieria quimica industrial,0.5161290322580645,32.0,62.0,2021,4.0
53,2,210,grado en periodismo,0.10104529616724739,29.0,287.0,2021,4.0
54,2,211,grado en publicidad y relaciones publicas,0.0979020979020979,14.0,143.0,2021,4.0
55,23,213,doble grado en ingenieria electrica e ingenieria mecanica,0.2,3.0,15.0,2021,4.0
56,23,214,doble grado en ingen diseño indy desarrollo del producto e ing mecanica,0.2608695652173913,6.0,23.0,2021,4.0
57,23,215,doble grado en ingenieria electrica e ingenieria electronica industrial,0.5294117647058824,9.0,17.0,2021,4.0
58,4,216,doble grado en geografia y gestion del territorio e historia,0.4666666666666667,14.0,30.0,2021,4.0
59,14,217,grado en biomedicina basica y experimental,0.15384615384615385,8.0,52.0,2021,4.0
60,20,218,grado en criminologia,0.08333333333333333,5.0,60.0,2021,5.0
61,12,219,grado en estudios de asia oriental por la us y uma,0.2631578947368421,15.0,57.0,2021,5.0
62,7,220,doble grado en finanzas y contabilidad y relac laborales y recurs humanos,0.29411764705882354,15.0,51.0,2021,5.0
63,8,220,doble grado en finanzas y contabilidad y relac laborales y recurs humanos,0.29411764705882354,15.0,51.0,2021,5.0
64,45,221,grado en ingenieria de la energia por la us y uma,0.4262295081967213,26.0,61.0,2021,4.0
65,6,222,grado en ingenieria de materiales,0.2765957446808511,13.0,47.0,2021,4.0
66,19,223,grado en optica y optometria,0.1,6.0,60.0,2021,4.0
67,5,224,grado en bioquimica por la us y uma,0.16666666666666666,10.0,60.0,2021,5.0
68,45,225,grado en ingenieria civil,0.5806451612903226,36.0,62.0,2021,5.0
69,3,226,grado en ingenieria de la salud por la uma y us,0.21311475409836064,13.0,61.0,2021,5.0
70,45,227,grado en ingenieria de organizacion industrial por la uma y us,0.11594202898550725,8.0,69.0,2021,5.0
71,45,228,grado en ingenieria electronica robotica y mecatronica (uma-us),0.14666666666666667,11.0,75.0,2021,5.0
72,7,229,doble grado en derecho y en finanzas y contabilidad,0.40816326530612246,20.0,49.0,2021,5.0
73,20,229,doble grado en derecho y en finanzas y contabilidad,0.40816326530612246,20.0,49.0,2021,5.0
74,19,230,doble grado en farmacia y en optica y optometria ,0.15,3.0,20.0,2021,5.0
75,6,231,doble grado en fisica y en ingenieria de materiales,0.30434782608695654,7.0,23.0,2021,5.0
76,6,232,doble grado en quimica y en ingenieria de materiales,0.125,2.0,16.0,2021,4.0
77,22,232,doble grado en quimica y en ingenieria de materiales,0.125,2.0,16.0,2021,4.0
78,15,233,grado en fundamentos de arquitectura,0.20618556701030927,60.0,291.0,2021,4.0
79,1,234,doble grado en derecho y en economia,0.24390243902439024,10.0,41.0,2021,4.0
80,20,234,doble grado en derecho y en economia,0.24390243902439024,10.0,41.0,2021,4.0
81,16,235,doble grado en lengua y literatura alemanas y en educacion primaria,0.3,3.0,10.0,2021,4.0
82,18,235,doble grado en lengua y literatura alemanas y en educacion primaria,0.3,3.0,10.0,2021,4.0
83,16,238,doble grado en educacion primaria y estudios franceses,0.2222222222222222,2.0,9.0,2021,4.0
84,18,238,doble grado en educacion primaria y estudios franceses,0.2222222222222222,2.0,9.0,2021,5.0
85,16,239,doble grado en filologia clasica y filologia hispanica,0.6190476190476191,13.0,21.0,2021,5.0
86,6,240,doble grado en fisica y matematicas,0.19047619047619047,4.0,21.0,2021,5.0
87,17,240,doble grado en fisica y matematicas,0.18181818181818182,4.0,22.0,2021,5.0
88,17,241,doble grado en matematicas y estadistica,0.08695652173913043,2.0,23.0,2021,6.0
89,4,242,grado en arqueologia por la ugr uja y us,0.14634146341463414,6.0,41.0,2021,5.0
90,2,243,doble grado en periodismo y comunicacion audiovisual (2016),0.4166666666666667,10.0,24.0,2021,5.0
91,98,244,grado en edificacion,0.41025641025641024,32.0,78.0,2021,5.0
92,11,245,doble grado en fisioterapia y ciencias de la actividad fisica y del deporte,0.2,5.0,25.0,2021,5.0
93,18,245,doble grado en fisioterapia y ciencias de la actividad fisica y del deporte,0.19230769230769232,5.0,26.0,2021,5.0
94,9,246,doble grado en ingenieria agricola (us) y grado ciencias ambientales (upo),0.0,0.0,27.0,2021,5.0
95,2,m036,mu en comunicacion y cultura,0.04,1.0,25.0,2021,5.0
96,302,m037,mu en artes del espectaculo vivo,0.35,7.0,20.0,2021,5.0
97,302,m039,mu en estudios de genero y desarrollo profesional,0.10714285714285714,3.0,28.0,2021,5.0
98,15,m040,mu en peritacion y reparacion de edificios,0.1,2.0,20.0,2021,5.0
99,13,m041,mu en psicologia de las organizaciones y del trabajo,0.125,4.0,32.0,2021,5.0
100,15,m043,mu en urbanismo planeamiento y diseño urbano,0.3333333333333333,6.0,18.0,2021,5.0
101,302,m044,mu en profesorado de eso y bachillerato fp y eidiomas,0.051224944320712694,23.0,449.0,2021,5.0
