,codigo_centro,codigo_titulacion,nombre_titulacion,porcentaje_aprobados,creditos_aprobados,creditos_matriculados,anyo
0,1,151,grado en administracion y direccion de empresas,0.5328775172266439,59856.0,112326.0,2021
1,5,153,grado en biologia,0.7305172010297215,37458.0,51276.0,2021
2,18,154,grado en ciencias de la actividad fisica y del deporte,0.8728833770569998,21960.0,25158.0,2021
3,20,155,grado en derecho,0.674574852409904,91869.0,136188.0,2021
4,1,156,grado en economia,0.5472289499928765,23046.0,42114.0,2021
5,11,157,grado en enfermeria,0.8797112219980889,49716.0,56514.0,2021
6,19,158,grado en famarcia,0.6909885675857431,30825.0,44610.0,2021
7,16,159,grado en filologia hispanica,0.5575966322234979,17484.0,31356.0,2021
8,12,160,grado en filosofia,0.7303578015492438,11880.0,16266.0,2021
9,7,161,grado en finanzas y contabilidad,0.43134704495569465,31836.0,73806.0,2021
10,6,162,grado en fisica,0.6265682656826568,15282.0,24390.0,2021
11,11,163,grado en fisioterapia,0.862248811167357,16863.0,19557.0,2021
12,4,164,grado en geografia y gestion del territorio,0.6233685518955874,6018.0,9654.0,2021
13,4,166,grado en historia,0.628755659212512,27498.0,43734.0,2021
14,4,167,grado en historia del arte,0.5954394442766536,23658.0,39732.0,2021
15,17,171,grado en matematicas,0.6769792162462319,25602.0,37818.0,2021
16,14,172,grado en medicina,0.8703772180907643,95328.5,109525.5,2021
17,10,173,grado en odontologia,0.8405538655197734,24039.0,28599.0,2021
18,18,174,grado en pedagogia,0.8997424892703862,31446.0,34950.0,2021
19,11,175,grado en podologia,0.78340825500613,11502.0,14682.0,2021
20,13,176,grado en psicologia,0.8557292148339961,55518.0,64878.0,2021
21,22,177,grado en quimica,0.6022139921045134,22195.5,36856.5,2021
22,8,178,grado en relaciones laborales y recursos humanos,0.5955476958285655,34350.0,57678.0,2021
23,7,179,grado en turismo,0.5993550987505039,35688.0,59544.0,2021
24,1,180,grado en marketing e investigacion de mercados,0.7419833178869324,24018.0,32370.0,2021
25,16,181,grado en estudios arabes e islamicos,0.5785953177257525,2076.0,3588.0,2021
26,16,182,grado en estudios franceses,0.5731277533039647,7806.0,13620.0,2021
27,16,183,grado en estudios ingleses,0.6657364341085271,25764.0,38700.0,2021
28,16,184,grado en filologia clasica,0.6506329113924051,4626.0,7110.0,2021
29,16,185,grado en lengua y literatura alemanas,0.6253196930946292,2934.0,4692.0,2021
30,1,186,doble grado en administracion y direccion de empresas y en derecho,0.7755029163194858,39090.0,50406.0,2021
31,20,186,doble grado en administracion y direccion de empresas y en derecho,0.7755029163194858,39090.0,50406.0,2021
32,20,187,doble grado en derecho y gestion y administracion publica,0.7338006820765441,11619.0,15834.0,2021
33,4,188,grado en antropologia social y cultural,0.6169491525423729,5460.0,8850.0,2021
34,21,190,grado en bellas artes,0.8629832617390016,34956.0,40506.0,2021
35,2,192,grado en comunicacion audiovisual,0.8978167501789549,30102.0,33528.0,2021
36,21,193,grado en conservacion y restauracion de bienes culturales,0.8431183830606352,10512.0,12468.0,2021
37,18,194,grado en educacion infantil,0.9772371255140004,39926.0,40856.0,2021
38,18,195,grado en educacion primaria,0.8888988083685906,114503.5,128815.0,2021
39,17,196,grado en estadistica,0.6566951566951567,5532.0,8424.0,2021
40,45,197,grado en ingenieria aeroespacial,0.6413161182840483,23097.0,36015.0,2021
41,9,198,grado en ingenieria agricola,0.4458187969129929,18976.5,42565.5,2021
42,45,199,grado en ingenieria de las tecnologias de telecomunicacion,0.4895498727629219,17602.5,35956.5,2021
43,23,200,grado en ingenieria electrica,0.3720218579234973,5106.0,13725.0,2021
44,23,201,grado en ingenieria electronica industrial,0.3632583170254403,8910.0,24528.0,2021
45,23,202,grado en ingenieria en diseño industrial y desarrollo del producto,0.5602803295766644,17748.0,31677.0,2021
46,45,203,grado en ingenieria de tecnologias industriales,0.5847917108842882,45462.0,77740.5,2021
47,3,204,grado en ingenieria informatica-ingenieria de computadores,0.4810625986322988,10974.0,22812.0,2021
48,3,205,grado en ingenieria informatica-ingenieria del software,0.686593492747942,42036.0,61224.0,2021
49,3,206,grado en ingenieria informatica-tecnologias informaticas,0.5296554009277668,19182.0,36216.0,2021
50,23,207,grado en ingenieria mecanica,0.46626865671641793,14058.0,30150.0,2021
51,45,208,grado en ingenieria quimica,0.4543893129770992,7143.0,15720.0,2021
52,23,209,grado en ingenieria quimica industrial,0.4198943661971831,5724.0,13632.0,2021
53,2,210,grado en periodismo,0.7795940607546655,51507.0,66069.0,2021
54,2,211,grado en publicidad y relaciones publicas,0.9005129112133003,30549.0,33924.0,2021
55,23,213,doble grado en ingenieria electrica e ingenieria mecanica,0.6043437204910292,3840.0,6354.0,2021
56,23,214,doble grado en ingen diseño indy desarrollo del producto e ing mecanica,0.8109919571045576,5445.0,6714.0,2021
57,23,215,doble grado en ingenieria electrica e ingenieria electronica industrial,0.5165081141578064,2769.0,5361.0,2021
58,4,216,doble grado en geografia y gestion del territorio e historia,0.7670842824601367,8082.0,10536.0,2021
59,14,217,grado en biomedicina basica y experimental,0.9151492159838138,10855.5,11862.0,2021
60,20,218,grado en criminologia,0.9376316898440792,13350.0,14238.0,2021
